type,trial,total,course,hover,axis,flow,target,dock,feedback,total_ms,approach_ms,hover_ms,dock_ms,course_gyro_rms,course_jerk_rms,course_spike_rate,tilt_rms,tilt_max,tilt_over_limit_ms,hover_stable_pct,hover_occluded_pct,dock_jerk_peak,hover_resets,occlusion_losses,received_at
FINAL_SCORE,1,84,27,30,15,2,5,5,Too slow,67886,64631.0,2000.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,2026-05-21T16:07:17
FINAL_SCORE,2,91,31,30,15,5,5,5,Fast but controlled,19872,16400.0,2000.0,1472.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,2026-05-21T16:07:56
FINAL_SCORE,3,59,20,26,1,4,5,3,Handle off-axis,14386,7230.0,1445.0,5711.0,415.6,7881.7,7.33,69.2,81.0,3640.0,54.5,100.0,6953.0,0.0,0.0,2026-05-21T12:55:25
FINAL_SCORE,4,90,35,28,15,4,5,3,Fast but controlled,5152,2.0,3174.0,1976.0,107.0,1285.7,0.0,3.9,11.7,0.0,45.5,100.0,8266.0,0.0,0.0,2026-05-21T12:57:00
FINAL_SCORE,5,55,22,6,15,8,1,3,Hover unstable,44254,,,,,,,,,,,,,,,2026-05-21T13:03:38
FINAL_SCORE,6,86,29,30,15,3,5,4,Too slow,64088,47543.0,3147.0,13398.0,78.3,2649.4,1.51,4.1,13.1,0.0,66.7,100.0,2244.0,0.0,0.0,2026-05-21T13:07:04
FINAL_SCORE,7,58,35,0,8,10,1,4,Hover unstable,32343,8486.0,19127.0,,,,,,,,,,,,,2026-05-21T13:10:47
FINAL_SCORE,8,62,25,10,13,8,1,5,Hover unstable,41491,33898.0,4640.0,2953.0,87.3,4926.3,2.04,12.2,40.4,520.0,46.6,46.6,0.0,4.0,4.0,2026-05-21T13:12:12
FINAL_SCORE,10,71,22,24,12,8,1,4,Hover unstable,44863,30201.0,4650.0,10012.0,99.4,5980.7,1.49,9.1,34.0,1920.0,75.0,75.0,0.0,1.0,1.0,2026-05-21T13:16:28
FINAL_SCORE,11,68,35,6,15,6,1,5,Hover unstable,17352,789.0,15004.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,,,,,2026-05-21T13:17:54
FINAL_SCORE,12,69,35,9,15,4,1,5,Hover unstable,9407,1289.0,6880.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,33.7,0.0,10.0,10.0,2026-05-21T13:18:49
FINAL_SCORE,13,19,12,0,0,3,1,3,Hover unstable,61514,40872.0,14600.0,6042.0,341.2,5028.8,6.83,86.5,91.7,42280.0,25.2,71.5,52254.0,8.0,8.0,2026-05-21T13:20:16
FINAL_SCORE,14,23,15,0,6,0,1,1,Hover unstable,148118,2923.0,120758.0,24437.0,1871.5,28463.2,35.92,12.8,78.6,17560.0,0.1,2.6,65812.0,222.0,222.0,2026-05-21T13:25:02
FINAL_SCORE,15,49,17,9,9,9,1,4,Hover unstable,35120,28802.0,5360.0,958.0,547.0,11676.3,6.21,17.2,73.6,960.0,37.3,56.7,2855.0,5.0,5.0,2026-05-21T13:25:56
FINAL_SCORE,16,87,32,24,15,9,3,4,Hover unstable,37135,29066.0,3815.0,4254.0,71.8,2181.8,0.96,4.0,7.5,0.0,71.8,95.8,2324.0,1.0,1.0,2026-05-21T13:27:46
FINAL_SCORE,17,83,27,25,15,7,5,4,Good control,47108,36212.0,3547.0,7349.0,75.9,3563.1,1.05,4.4,8.9,0.0,42.5,100.0,59235.0,0.0,0.0,2026-05-21T13:31:45
FINAL_SCORE,18,58,35,1,12,5,1,4,Hover unstable,19706,2192.0,10003.0,7511.0,77.5,1131.6,0.91,15.4,48.6,640.0,8.0,48.0,90633.0,3.0,3.0,2026-05-21T13:33:11
FINAL_SCORE,19,95,33,30,15,9,5,3,Great control,38400,30522.0,3360.0,4518.0,81.6,1074.4,1.54,4.3,8.2,0.0,59.5,100.0,15225.0,0.0,0.0,2026-05-21T13:34:17
FINAL_SCORE,20,38,28,0,2,2,1,5,Hover unstable,73960,1882.0,71095.0,983.0,160.5,2882.9,9.03,32.8,75.9,20720.0,4.5,5.4,875.0,106.0,106.0,2026-05-21T13:43:25
FINAL_SCORE,21,87,33,26,15,4,5,4,Fast but controlled,6055,2043.0,2440.0,1572.0,56.9,2718.3,3.92,0.4,1.2,0.0,77.0,100.0,6382.0,0.0,0.0,2026-05-21T13:43:32
FINAL_SCORE,22,56,27,0,15,9,1,4,Hover unstable,21481,2113.0,18383.0,985.0,202.9,1137.6,10.41,10.9,24.4,0.0,12.2,15.1,1874.0,31.0,31.0,2026-05-21T13:44:15
FINAL_SCORE,23,44,12,12,10,4,3,3,Hover unstable,56612,38813.0,10560.0,7239.0,596.9,5438.1,19.79,11.9,134.7,1280.0,22.0,93.2,65845.0,1.0,1.0,2026-05-21T13:45:31
FINAL_SCORE,24,89,35,26,15,4,5,4,Fast but controlled,8597,31.0,324.0,,,,,,,,,,,,,2026-05-21T16:03:28
FINAL_SCORE,25,83,35,24,7,9,5,3,Handle off-axis,21070,2.0,13908.0,7160.0,20.1,1782.5,0.0,15.7,54.9,6920.0,16.7,100.0,55061.0,0.0,0.0,2026-05-21T16:03:59
FINAL_SCORE,26,84,35,24,13,4,5,3,Fast but controlled,7139,0.0,5081.0,2058.0,127.4,1305.7,0.0,10.4,42.7,440.0,39.4,100.0,38975.0,0.0,0.0,2026-05-21T16:04:11
FINAL_SCORE,27,90,35,30,13,4,5,3,Fast but controlled,11120,0.0,3840.0,7280.0,128.4,152.4,0.0,10.0,38.4,1160.0,52.1,100.0,41285.0,0.0,0.0,2026-05-21T16:04:28
